ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019
Agric eggs medium size,328.84483655388794,338.7974319639555,350.9176547745207,367.7479572127643,370.0067951170891,380.03429607831765,374.55362314079684,378.7299454171084,435.20219806699635,472.7692736353924,430.73081441831425,439.86604506702315,512.9883592683593,520.157132657132,507.6944971537,518.6578914627441,522.7131248387728,514.6559591219035,498.49535387586445,485.187182866556,487.50918604062815,472.8515244227876,463.1138312401625,494.43063568692435,437.12764565353575,519.068630208195,527.3187987394201,552.0895022992147,548.6587512938047,539.7515116438462,471.75403837665135,474.1328696075596,472.73038576987693,482.89535363087026,477.75600787264074,466.9653820382936,469.8580349914379,464.2696769585315,459.807400617443,467.176525391135,464.8683297806791,495.3260184695557,468.314416702928
Agric eggs(medium size price of one),29.748341748341723,29.996364064089278,31.201258774788162,35.90289606521456,33.98413646064507,34.198061466295144,33.78915305010673,33.99367793593335,37.20444736424658,42.02768733337271,39.04963776838775,39.400087054351744,47.418103135603126,42.903736973589886,43.9275229357798,46.21802112746385,45.7348691292142,45.277477832464854,44.317875555920814,42.917186440678,45.716162980904755,42.06263872165407,40.8158837882365,41.323472429797896,38.84745548741245,41.271213787947204,41.208405662497874,42.24570850675329,41.765273946008705,41.38071285980123,41.22020344901252,41.79148274739439,41.167788457857135,41.72844893800776,42.40260722737503,42.57913575119458,42.18242100718027,42.23381473978459,41.91978721218769,41.945393363635965,42.819170938192684,39.30776805544608,38.38237897366071
"Beans brown,sold loose",236.80832333951489,238.02080335506832,240.91443290100915,263.57481586661453,256.4133247788246,276.5943323216185,288.32438291863275,293.559871270996,305.29244700532325,345.4821794725628,357.2648809155067,347.60398459038515,353.60417160992165,337.11085205822684,353.27723715140934,357.1920356815319,365.8569268631485,374.25511452673265,382.34527489783846,370.252746031745,404.83745607609967,382.57931429076586,369.7799978334243,361.97303852953166,385.5267908451466,387.4843748207461,395.34303426705674,395.19079664289853,407.730213412372,418.78455135604435,411.01575474309567,410.1620935478885,416.0696169490245,411.0455644072039,396.7339546916167,386.7769086699211,382.7634705108083,373.90835146860593,368.07397716155174,372.8369101946139,365.32482062623075,342.82395297516325,327.18216094062865
Beans:white black eye. sold loose,206.05194654156625,208.3646331307277,217.64331342200424,229.32177867177793,228.2025019760233,256.6861337416296,260.732654820383,260.9090565025453,282.698736845285,295.84955467297243,299.89396609888615,296.9848462549247,305.53051545864037,309.851381219359,318.45395382841417,324.038538376009,332.2846116065131,339.6430586192249,343.96326262057573,335.7052962962965,358.1257548348612,342.051038218698,337.0910342958943,314.9259271233519,344.5152360639826,348.5522442195348,357.03846061507187,355.32252307976654,367.2330505862188,369.4286005987671,361.32783120070883,361.6767707844506,362.7051299667171,354.21546267666923,346.4135047487834,344.72040465946986,336.72329908772883,338.05171147105057,330.75610775069754,329.4527410281045,329.6626530880303,311.4031394567696,289.7763287573961
Beef Bone in,811.2424289663035,790.9834383148626,826.9562535882968,884.9930846514592,865.1640451864193,851.8142950622944,884.0582030150775,910.4051174131789,953.9144455434111,979.6060245531739,965.5874443310054,948.071398894348,1001.2428211506959,995.6484486699475,1010.290508576462,1035.4460748619713,1123.653344996366,1129.0180024221308,1128.936442267362,1151.38123529411,1078.4904605792326,1081.3018960022953,1065.5923023920936,1067.7305466247658,1045.5547206334936,1017.2792796052088,1024.6353164636412,980.2587678666363,1011.1081965486336,1034.5660085289553,1028.1213140420955,1061.7830157536298,1027.6588556669233,1003.346558040869,998.6652000039543,997.7264545596624,994.2045787402578,980.5430904112294,980.1240148624811,1025.262657656751,1023.3902330350446,1003.1952940295769,1009.6889540108848
"Beef,boneless",977.3282656152016,1036.4452054994542,1004.4148769474075,1022.5653162499761,1047.3299042913432,1031.22565006904,1055.2095121300802,1060.6656670652906,1145.2855587482304,1218.6219247642837,1153.0269972180952,1162.4247057679527,1249.4835182325182,1270.6726841581815,1281.707164045722,1323.0974066414033,1378.9146561276928,1393.4175069513528,1376.9084935382803,1276.85393258427,1324.9347946932533,1312.7307900536914,1286.8569691234507,1236.4393952201754,1298.6986189001755,1274.7142027681377,1262.5076812533464,1257.7345951248103,1275.765836017509,1271.5419119083435,1262.7298403646118,1281.0155892605846,1281.6417873777752,1260.594996351062,1251.4453840379804,1270.8078145656584,1273.9905688667836,1254.988647397668,1253.4796471166162,1271.09840679115,1268.954129364594,1240.4400861278868,1246.7812408362818
Bread sliced 500g,225.40011302511286,240.17554293961985,259.2914133539132,249.73449212049195,248.6720287970286,276.9721132846132,306.35382098776824,265.2213041842451,293.4267670935963,305.26646501604733,305.7164011337538,296.0521013935719,302.87194044694036,299.7499647499646,297.50588235294117,296.6296423937078,307.7010710412339,320.58027805106656,314.474888240368,304.19878296146044,310.6188890289366,305.88451855213464,298.96381780863203,290.05099936020986,313.43236683547775,314.1733689947118,305.8782675326793,306.5426962227003,305.97991136954926,308.00482676630327,305.25150815034175,307.9664136850838,303.84457373273165,299.1935152991694,305.4773799616309,296.91416527008624,300.61310760288364,299.1094701381389,299.9779230938819,297.8681930099421,297.2752522129644,292.73147912273294,293.4899654212734
Bread unsliced 500g,208.64911962938262,270.6507402818257,225.973546161046,222.2640188758608,222.5050216675214,275.37609740109724,299.9034105534105,245.2049966984175,274.5667547092533,264.29222480948977,298.05823172084035,272.97390981389077,270.25064234803403,264.85971010970997,262.3312883435583,277.6946073919758,282.25682621641954,286.77823213775224,285.5516640978884,258.70386690647,286.33187563955215,280.33970600880804,274.32495326612974,268.231059665011,282.1186493037853,284.3567250183973,278.6132782005934,278.61420125614495,278.1067748668847,275.595412178624,272.70718150865207,278.2651616529639,278.5703536416923,272.9094638902223,277.86653133500965,271.1368315381474,272.96913528013533,271.74248773327514,273.1435059261129,271.48714052295486,272.0883064743805,274.485298705887,271.02303991136057
Broken Rice (Ofada),263.26447796010285,277.30067577629336,289.41476482510296,302.8114939737468,309.378937241871,337.72562418633265,338.68682151639376,335.8906914892932,342.86491628795216,353.5924132661863,360.9531784646456,375.65177236960255,377.4065394144144,392.03910426929383,421.53795379978,425.5257904814282,460.09782569663787,472.2879976877162,473.40230566973935,415.34006289308,431.59345488659125,416.1849602610328,417.2374579264205,319.8617304203215,413.18860828173683,405.69389573622993,399.4651108939263,400.93658501547264,405.0275069152309,404.4335846830389,403.5599503786067,397.2946991401961,384.4947561897338,370.2115579096849,385.60933193181296,381.64353986083984,382.14916524931056,385.8121256562729,382.44508249421943,381.12934952127625,377.774799369564,373.49154343812114,367.4400285352398
Chicken Feet,595.47718993994,610.7770202927928,648.5678037033365,651.1884007536992,654.3689455620818,655.4340576988545,669.5982112687057,680.8822525684875,733.2307693621851,735.7758334657495,703.3763541566095,713.109633005991,765.2843477477476,785.4225617283946,907.51434261134,768.113965489755,819.5948969827905,832.7879244999847,832.6557299182407,834.7374556213,817.1946938255924,800.0962157909331,790.9064780172575,1155.988556995428,850,778.6417198991918,772.9858462804023,758.8802972982066,782.5460570484956,784.7776393680616,930.5008935402859,803.0336255276391,808.0537768459126,775.6558997178419,985.3317454910608,737.7610223168003,749.5318271300821,731.9108129559772,727.6060987058482,746.2820103213317,727.7309350226627,693.6108952845054,663.028235582625
