,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
ABIA,Agric eggs medium size,333.8095238095235,333.5714285714285,343.9567948717945,350.87878787878753,355.5882352941175,361.8253968253965,361.944444444444,367.4089068825905,373.2589285714285,434.37872596217903,422.767857142857,439.4196428571425
ABIA,Agric eggs(medium size price of one),29.4642857142857,29.821428571428548,30,31.5,31.71875,33.3333333333333,32.5972222222222,32.6587301587301,33.392857142857096,40.12,40.15625,40.22
ABIA,"Beans brown,sold loose",281.150793650793,288.88888888888846,289.316239316239,313.775357142857,303.92866666666646,352.3489950980385,368.75,361.111111111111,377.97619047619,409.3741880341875,454.551666666666,465.47619047619
ABIA,Beans:white black eye. sold loose,264.88095238095195,265.5753968253965,273.771367521367,297.73511904761847,288.1040808823525,332.2226785714285,330.6713888888885,350.1984126984125,378.27380952380895,428.26150793650754,415.0793650793645,417.0168067226885
ABIA,Beef Bone in,796.5606666666665,798.405436507936,757.390555555555,819.1225714285705,832.1124166666659,828.4865109890104,835.154047619047,948.65308035714,818.3366517857135,878.549858828572,980.1401201923,1000.22
ABIA,"Beef,boneless",1029.0802222222214,1158.49152777777,1119.505396825395,1117.487418300645,1226.228749999995,1190.4879999999998,1237.8308791208751,1239.606349206345,1265.829718045105,1309.81374016761,1330.38055555556,1319.01626984127
ABIA,Bread sliced 500g,261.45833333333303,250.5555555555555,278.125,268.4027777777775,274.375,281.25,303.333333333333,312.8571428571425,298.055555555555,309.705167151169,298.75,313.125
ABIA,Bread unsliced 500g,241.38888888888852,272.9166666666665,247.083333333333,231.38888888888852,235.625,244.375,245,241.66666666666652,251.111111111111,279.8094166666665,284.375,285.269841269841
ABIA,Broken Rice (Ofada),350.34,350.760408,351.1813204896,380,360,360.432,360.86451840000007,361.2975558220801,361.7311128890666,469.944639448268,470.508573015606,471.07318330322477
ABIA,Chicken Feet,652.052,720.8325,724.536666666667,766.8009999999999,783.33333333333,734.325833333333,750.088333333333,687.4575,690.401249999999,723.483638867796,758.33333333333,760.11
ABIA,Chicken Wings,710.4985,841.6666666666665,825,830,862.5,865,882.355,884.69,898.75,941.624532116061,981.25,1037.5
ABIA,Evaporated tinned milk carnation 170g,125.45,125.60054000000001,125.75126064800003,125.90216216077764,126.05324475537059,126.20450864907704,126.35595405945594,126.5075812043273,126.6593903017725,132.085091118397,150,150
