States,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019
ABIA,Agric eggs medium size / 1 Dozen,333.8095238095235,333.5714285714285,343.9567948717945,350.87878787878753,355.5882352941175,361.8253968253965,361.944444444444,367.4089068825905,373.2589285714285,434.37872596217903,422.767857142857,439.4196428571425,459.977222222222,485.8095238095235,519.5652173913044,520.608695652174,559.655172413793,563.928571428571,520.9375,501.48148148148147,495.916666666667,510.38461538461536,502.1710344827586,507.8787878787879,425,627.241379310345,651.333333333333,693.171355498721,650,653,556.51282051282,505.923076923077,491.473684210526,490.55555555555554,500.206896551724,495.7894736842105,482.5,489.5238095238095,496.9230769230769,490.947368421053,501.470769230769,525.7142857142857,510
ABIA,Agric eggs(medium size price of one) / 1 Piece,29.4642857142857,29.821428571428548,30,31.5,31.71875,33.3333333333333,32.5972222222222,32.6587301587301,33.392857142857096,40.12,40.15625,40.22,45.1071428571429,44.51357466063345,46.4,48.148148148148145,47.74193548387097,48.4375,48.125,48.333333333333336,46.95652173913044,47.77777777777778,47.5,47.638888888888886,40,47.27272727272727,48.166666666666664,48.51851851851852,48.3939393939394,48.4363636363636,48.258888888889,48.10344827586207,46.5,45,48.857142857142854,49.04761904761905,46.35621,48.46153846153846,49.333333333333336,46.0909090909091,47.56049772144522,40,36.3666666666667
ABIA,"Beans brown,sold loose / 1Kg",281.150793650793,288.88888888888846,289.316239316239,313.775357142857,303.92866666666646,352.3489950980385,368.75,361.111111111111,377.97619047619,409.3741880341875,454.551666666666,465.47619047619,471.22,436.7199999999995,415.625,394.14466130884045,474.19354838709677,465.89861751152074,458.3333333333333,489.0625,486.95652173913044,471.346153846154,470.5,471.428571428571,462.5496031746032,493.3333333333333,519.6428571428569,514.3990929705213,499.07834101382474,492.04545454545456,490.2173913043478,500.33577533577534,500,495.096702684541,475.33425103588337,487.5,489.5833333333333,497.6190476190476,475,480.51948051948057,509.882,480.935828877005,433.59375
ABIA,Beans:white black eye. sold loose / 1Kg,264.88095238095195,265.5753968253965,273.771367521367,297.73511904761847,288.1040808823525,332.2226785714285,330.6713888888885,350.1984126984125,378.27380952380895,428.26150793650754,415.0793650793645,417.0168067226885,420.764285714286,375.090497737556,400.2415458937198,391.8724279835391,470.3125,466.7487684729064,463.7931034482759,484.375,468.57142857142856,457.142857142857,445.48275862069,435.135135135135,462.12370005473457,484.375,495.81280788177315,498.416666666666,488.50446428571416,473.7577639751552,450.046511627907,485.42328042328,483.3333333333333,487.205896998522,457.43449994702104,480.1587301587302,482.77027027027026,486,462.1428571428571,464.422077922078,472.4603333333334,453.4375,420.7142857142857
ABIA,Beef Bone in / 1Kg,796.5606666666665,798.405436507936,757.390555555555,819.1225714285705,832.1124166666659,828.4865109890104,835.154047619047,948.65308035714,818.3366517857135,878.549858828572,980.1401201923,1000.22,1107.67083333333,955.094825174825,981.2577766695412,969.9678628250058,996.4927454785468,990.955056588909,950.2303929738863,1050.8075,996.219093032349,1046.7547942253825,955.8,973.1332304711326,986.1752852501626,986.7049560761529,930.7641141424702,904.1867954911432,920.6867610751312,1060.8530077089918,986.361083954667,1053.4313986525,1028.4467659821369,980,980.4899999999999,990.6010377952339,987.675156265604,898.166028681239,903.454892814798,976.53755504915,988.6425,992.4505673354778,1016.44036832007
ABIA,"Beef,boneless / 1Kg",1029.0802222222214,1158.49152777777,1119.505396825395,1117.487418300645,1226.228749999995,1190.4879999999998,1237.8308791208751,1239.606349206345,1265.829718045105,1309.81374016761,1330.38055555556,1319.01626984127,1378.3958333333335,1304.71729166666,1129.160795980018,1362.469615635856,1499.91374279634,1353.12320769554,1356.7950547517373,1407.55964285714,1481.51180542485,1477.19568039141,1368.43269230769,1331.1058400192521,1456.9914872146105,1389.92969094184,1425.1398988696137,1413.37204339328,1404.569132558263,1398.03337808313,1347.956937068087,1400.35812171128,1402.1295663400927,1409.1402141717929,1395,1460.2809865740899,1421.6073463442522,1433.8788690440883,1404.93655184657,1397.2576599870717,1404.3020689655173,1385.33779996449,1350.86389305139
ABIA,Bread sliced 500g / 1 loaf,261.45833333333303,250.5555555555555,278.125,268.4027777777775,274.375,281.25,303.333333333333,312.8571428571425,298.055555555555,309.705167151169,298.75,313.125,334.2578571428571,340.2777777777775,340,340.769230769231,371.05263157894734,353.888888888889,368.75,340,338.571428571429,364.70588235294116,367.6470588235294,354.210526315789,365,395.29411764705884,356.6666666666667,370.625,376.9230769230769,358.3333333333333,365.38461538461536,358.8235294117647,306.6666666666667,315.882352941176,345.45454545454544,350,372,392.85714285714283,395.2146587,393.3333333333333,406.6666666666667,407.5,375.29411764705884
ABIA,Bread unsliced 500g / 1 loaf,241.38888888888852,272.9166666666665,247.083333333333,231.38888888888852,235.625,244.375,245,241.66666666666652,251.111111111111,279.8094166666665,284.375,285.269841269841,291.79166666666663,289.1666666666665,286.3636363636364,304.1666666666667,275,275.88235294117646,281.25,345.625,343.846153846154,347.22222222222223,345,329.54545454545456,347.05882352941177,359.44444444444446,320.555555555556,334.705882352941,300,297.5,288.46153846153845,269.44444444444446,266.6666666666667,258.8235294117647,255.55555555555554,261.53846153846155,282.6923076923077,305,307.4825396,326.666666666667,335,322.5,331.25
ABIA,Broken Rice (Ofada) / 1Kg,350.34,350.760408,351.1813204896,380,360,360.432,360.86451840000007,361.2975558220801,361.7311128890666,469.944639448268,470.508573015606,471.07318330322477,472,450,462.645,465,520,486.99,503.495,490.84,490.8792672,495.78,495.98,495.325,500.2134,500.6135707199999,500.9640002195039,485.636363636364,486.0734363636367,464.545454545455,464.8706363636368,415.636363636364,403.636363636364,405.6545454545458,417.5,419.25343,424.444444444444,424.78399999999954,430.27437,427.272727272727,426.69388542929266,415.0326,402.64
ABIA,Catfish (obokun) fresh,,,,,,,,,,,,,1058.91,1034.755,1100,1100,1124.6885791899601,1135,1170.84,1154.55,1000.32,1193.33839918946,1152.5,1145,1200,1300,1301.1699999999998,1200,1201.08,1235.14325,1250,1300,1300.78,1312.4870199999998,1315.405760914,1320.1423,1290.95657428991,1298.7023137356493,1265.132457,1210,1210.7259999999999,1175.34,1203.5
