States,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019
ABIA,Agric eggs medium size / 1 Dozen,333.8095,333.57144,343.9568,350.87878,355.58823,361.8254,361.94446,367.4089,373.2589285714285,434.37872,422.76785,439.41965,459.97723,485.8095,519.56525,520.6087,559.65515,563.9286,520.9375,501.48148,495.91666,510.3846,502.17102,507.87878,425.0,627.2414,651.3333,693.1713,650.0,653.0,556.5128,505.92307,491.4737,490.55555555555554,500.2069,495.78946,482.5,489.5238,496.92307,490.94736,501.47076,525.7143,510.0,480.75,490.0
ABIA,Agric eggs(medium size price of one) / 1 Piece,29.464285,29.821428,30.0,31.5,31.71875,33.333332,32.59722,32.65873,33.392857142857096,40.12,40.15625,40.22,45.107143,44.513577,46.4,48.148148,47.741936,48.4375,48.125,48.333332,46.95652,47.77778,47.5,47.63889,40.0,47.272728,48.166668,48.51852,48.39394,48.436363,48.25889,48.103447,46.5,45,48.857143,49.04762,46.35621,48.46154,49.333332,46.090908,47.560497,40.0,36.366665,42.35,48.387096
ABIA,"Beans brown,sold loose / 1Kg",281.1508,288.8889,289.31625,313.77536,303.92868,352.349,368.75,361.1111,377.97619047619,409.37418,454.55167,465.4762,471.22,436.72,415.625,394.14465,474.19354,465.89862,458.33334,489.0625,486.9565,471.34616,470.5,471.42856,462.5496,493.33334,519.6429,514.3991,499.07834,492.04544,490.21738,500.3358,500.0,495.096702684541,475.33426,487.5,489.58334,497.61905,475.0,480.51947,509.882,480.93582,433.59375,369.69,381.4626
ABIA,Beans:white black eye. sold loose / 1Kg,264.88095,265.5754,273.77136,297.7351,288.1041,332.2227,330.6714,350.19843,378.27380952380895,428.2615,415.07938,417.0168,420.76428,375.09048,400.24155,391.87244,470.3125,466.74878,463.7931,484.375,468.57144,457.14285,445.48276,435.13513,462.1237,484.375,495.8128,498.41666,488.50446,473.75775,450.0465,485.42328,483.33334,487.205896998522,457.4345,480.15872,482.77026,486.0,462.14285,464.4221,472.46033,453.4375,420.7143,389.68,385.97882
ABIA,Beef Bone in / 1Kg,796.56067,798.40546,757.39056,819.12256,832.1124,828.4865,835.15405,948.6531,818.3366517857135,878.54987,980.14014,1000.22,1107.6708,955.09485,981.25775,969.96783,996.49274,990.9551,950.2304,1050.8075,996.2191,1046.7548,955.8,973.13324,986.1753,986.70496,930.7641,904.18677,920.68677,1060.853,986.3611,1053.4314,1028.4468,980,980.49,990.601,987.6752,898.166,903.4549,976.53754,988.6425,992.45056,1016.44037,987.91,995.69086
ABIA,"Beef,boneless / 1Kg",1029.0802,1158.4916,1119.5054,1117.4874,1226.2288,1190.488,1237.8309,1239.6063,1265.829718045105,1309.8137,1330.3806,1319.0162,1378.3959,1304.7173,1129.1608,1362.4696,1499.9137,1353.1232,1356.795,1407.5597,1481.5118,1477.1957,1368.4327,1331.1058,1456.9915,1389.9297,1425.1399,1413.3721,1404.5691,1398.0333,1347.9569,1400.3582,1402.1295,1409.1402141717929,1395.0,1460.281,1421.6073,1433.8789,1404.9365,1397.2577,1404.3021,1385.3378,1350.8639,1352.75,1373.6594
ABIA,Bread sliced 500g / 1 loaf,261.45834,250.55556,278.125,268.40277,274.375,281.25,303.33334,312.85715,298.055555555555,309.70517,298.75,313.125,334.25784,340.27777,340.0,340.76923,371.05264,353.8889,368.75,340.0,338.57144,364.70587,367.64706,354.21054,365.0,395.29413,356.66666,370.625,376.92307,358.33334,365.3846,358.82352,306.66666,315.882352941176,345.45456,350.0,372.0,392.85715,395.21466,393.33334,406.66666,407.5,375.29413,380.0,383.33334
ABIA,Bread unsliced 500g / 1 loaf,241.38889,272.91666,247.08333,231.38889,235.625,244.375,245.0,241.66667,251.111111111111,279.80942,284.375,285.26984,291.79166,289.16666,286.36365,304.16666,275.0,275.88235,281.25,345.625,343.84616,347.22223,345.0,329.54544,347.05884,359.44446,320.55554,334.70587,300.0,297.5,288.46155,269.44446,266.66666,258.8235294117647,255.55556,261.53845,282.69232,305.0,307.48254,326.66666,335.0,322.5,331.25,332.12,332.0
ABIA,Broken Rice (Ofada) / 1Kg,350.34,350.7604,351.18134,380.0,360.0,360.432,360.86453,361.29755,361.7311128890666,469.94464,470.50858,471.07318,472.0,450.0,462.645,465.0,520.0,486.99,503.495,490.84,490.87927,495.78,495.98,495.325,500.2134,500.61356,500.964,485.63635,486.07343,464.54544,464.87064,415.63635,403.63635,405.6545454545458,417.5,419.25342,424.44446,424.784,430.27438,427.27274,426.69388,415.0326,402.64,405.05585,410.0
ABIA,Catfish (obokun) fresh,,,,,,,,,,,,,1058.91,1034.755,1100.0,1100.0,1124.6886,1135.0,1170.84,1154.55,1000.32,1193.3384,1152.5,1145.0,1200.0,1300.0,1301.17,1200.0,1201.08,1235.1433,1250.0,1300.0,1300.78,1312.4870199999998,1315.4058,1320.1423,1290.9565,1298.7023,1265.1324,1210.0,1210.726,1175.34,1203.5,1204.3424,1200.0
